,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
11400,Cabonne,A,NetWaste,Rest of NSW," 1,956 ",," 1,956 ",, 23 , -   ,, -   , -   ,," 3,260 ", 16 ," 3,244 ",, -   , -   ,, 48 , -   , 48 ,," 5,271 ",," 5,264 ", 16 ," 5,248 ", 23 , -   
11450,Camden,A,MACROC,SMA," 23,337 ", 601 ," 22,736 ",," 1,822 ", 590 ,, -   , -   ,, 0 , -   , 0 ,, -   , -   ,," 3,308 ", -   ," 3,308 ",," 28,456 ",," 26,645 ", 601 ," 26,045 "," 1,822 ", 590 
11500,Campbelltown,C,MACROC,SMA," 35,977 ", 261 ," 35,716 ",," 2,137 ", 727 ,, -   , -   ,, -   , -   , -   ,, -   , -   ,," 8,207 ", -   ," 8,207 ",," 46,786 ",," 44,184 ", 261 ," 43,923 "," 2,137 ", 727 
11520,Canada Bay,A,SSROC,SMA," 18,699 ",," 18,699 ",, 588 , 48 ,, -   , -   ,, 147 , 147 , -   ,, -   , 3 ,," 2,650 ", 397 ," 2,253 ",," 21,591 ",," 21,496 ", 544 ," 20,952 ", 588 , 51 
11570,Canterbury-Bankstown,A,SSROC,SMA," 84,790 ",," 84,790 ",," 1,843 ", 130 ,, -   , -   ,, -   , -   , -   ,, -   , -   ,," 11,991 "," 3,585 "," 8,406 ",," 95,169 ",," 96,781 "," 3,585 "," 93,196 "," 1,843 ", 130 
11600,Carrathool,A,RAMJO Riverina,Rest of NSW, 750 ,, 750 ,, -   , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, -   , -   , -   ,, 750 ,, 750 , -   , 750 , -   , -   
11650,Central Coast,C,Hunter,ERA," 78,064 ",," 78,064 ",," 2,387 ", 37 ,, -   , -   ,," 11,983 ", -   ," 11,983 ",, -   , -   ,," 23,307 ", 911 ," 22,396 ",," 114,867 ",," 113,354 ", 911 ," 112,443 "," 2,387 ", 37 
11700,Central Darling,A,NetWaste,Rest of NSW, 520 ,, 520 ,, -   , -   ,, 136 , 10 ,, 264 , -   , 264 ,, 1 , -   ,, 10 , 10 , -   ,, 931 ,, 794 , 10 , 784 , 137 , 10 
11720,Cessnock,C,Hunter,ERA," 14,314 ",," 14,314 ",, 150 , 10 ,, -   , -   ,," 8,975 ", -   ," 7,537 ",, -   , -   ,, -   , -   , -   ,," 22,011 ",," 23,289 ", -   ," 21,851 ", 150 , 10 
11730,Clarence Valley,A,NEWF,RRA," 7,961 ",," 7,961 ",, 386 , -   ,, -   , -   ,," 3,914 ", 85 ," 3,829 ",, -   , -   ,, -   , -   , -   ,," 12,176 ",," 11,875 ", 85 ," 11,790 ", 386 , -   
11750,Cobar,A,NetWaste,Rest of NSW, 925 ,, 925 ,, -   , -   ,, -   , 40 ,, 68 , -   , 68 ,, -   , -   ,, -   , -   , -   ,," 1,033 ",, 993 , -   , 993 , -   , 40 
11800,Coffs Harbour,C,MidWaste,RRA," 13,939 ", 475 ," 13,464 ",," 1,513 ", -   ,, -   , -   ,," 7,585 "," 1,140 "," 6,444 ",, -   , -   ,, 337 , 66 , 271 ,," 21,692 ",," 21,861 "," 1,682 "," 20,179 "," 1,513 ", -   
12000,Coolamon,A,REROC,Rest of NSW, 924 ,, 924 ,, 11 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, 6 , -   , 6 ,, 941 ,, 930 , -   , 930 , 11 , -   
12150,Coonamble,A,NetWaste,Rest of NSW," 1,420 ",," 1,420 ",, -   , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, -   , -   , -   ,," 1,420 ",," 1,420 ", -   ," 1,420 ", -   , -   
12160,Cootamundra - Gundagai,A,REROC,Rest of NSW," 1,475 ",," 1,475 ",, 17 , 3 ,, -   , -   ,," 4,394 ", -   ," 4,394 ",, -   , -   ,, -   , -   , -   ,," 5,888 ",," 5,868 ", -   ," 5,868 ", 17 , 3 
