,,,,,Total Domestic Generation (tonnes),,,,,,,,,,,,,
,,,,,Recyclables,,,Organics,,,Residual Waste,,,,Total Domestic Collected,Total Recycled,Total Disposed,Recycling Rate (%)
,,,,,Collected ,Recycled,Disposed,Collected ,Recycled,Disposed,Collected ,Recycled,Disposed,,,,,
NSW,,,,,810398.626,743021.566,67377.06,745642.34,723558.22,22084.12,2151078.58,295534.09,1855544.49,,3707119.546,1762113.876,1945005.67,47.53323582
,2015-16,,,,,,,,,,,,,,,,,
SMA,,,,,390401.296,355948.826,34452.47,340871.73,334510.23,6361.5,1131346.72,249801.56,881545.16,,1862619.746,940260.616,922359.13,50.48054591
ERA,,,,,177210.03,162778.99,14431.04,170558.92,169458.97,1099.95,461253.51,26994.47,434259.04,,809022.46,359232.43,449790.03,44.40327034
RRA,,,,,123305.58,117945.46,5360.12,129067.55,127242.59,1824.96,223405.58,15391.97,208013.61,,475778.71,260580.02,215198.69,54.76916359
Rest of NSW,,,,,119481.72,106348.29,13133.43,105144.14,92346.43,12797.71,335072.77,3346.09,331726.68,,559698.63,202040.81,357657.82,36.09814267
,,,,,,,,,,,,,,,,,,
NSW,,,,,810826.154,756589.844,54236.3,753410.646,725978.2758,27432.3402,2127203.28,290906.633,1836296.647,,3691440.08,1773474.753,1917965.287,48.04289693
,2014-15,,,,,,,,,,,,,,,,,
SMA,,,,,384319.014,355570.984,28748.03,326139.75,310678.2334,15461.5166,1092206.93,239205.093,853001.837,,1802665.694,905454.3104,897211.3836,50.2286316
ERA,,,,,170038.95,161953.36,8085.59,187109.53,183328.3904,3781.1096,459292.19,22425.31,436866.88,,816440.67,367707.0604,448733.5796,45.03781768
RRA,,,,,123318.63,116752.89,6565.73,122302.56,118111.3804,4191.179588,218838.86,23012.85,195826.01,,464460.05,257877.1204,206582.9196,55.52191634
Rest of NSW,,,,,133149.56,122312.61,10836.95,117858.806,113860.2716,3998.534407,356865.3,6263.38,350601.92,,607873.666,242436.2616,365437.4044,39.8826722
,,,,,,,,,,,,,,,,,,
NSW,,,,,783766.0285,732227.9337,51538.0948,668256.9,643114.7683,25142.5617,2071313.87,272947.22,1798366.64,,3523336.799,1648289.922,1875047.297,46.78207098
,2013-14,,,,,,,,,,,,,,,,,
SMA,,,,,388848.3849,361077.6049,27770.78,302376.86,288141.6755,14235.4045,1056264.54,227224.71,829039.82,,1747489.785,876443.9904,871046.0045,50.15445572
ERA,,,,,167150.2603,158553.0603,8597.2,154225.85,153131.26,1094.61,421353.74,21954.73,399399.01,,742729.8503,333639.0503,409090.82,44.92064648
RRA,,,,,113441.1288,107682.1588,5758.97,111325.99,107619.9128,3706.1372,225905.73,19363.61,206542.12,,450672.8488,234665.6816,216007.2272,52.07007305
Rest of NSW,,,,,114326.2545,104915.1097,9411.1448,100328.2,94221.92,6106.41,367789.86,4404.17,363385.69,,582444.3145,203541.1997,378903.2448,34.94603598
