LGA Code,LGA Name,Region Type,Council Name,Regional Groups,,,Population,Households Surveyed,Average Domestic Waste Management Cost (DWMC) $,Households with Residual Waste Service,Households with Recycling Service,Households with Garden Organics Service,Households with Food and Garden Organics Service,Clean Up Service occurences ,Drop Off Service access,,Drop Off Facility 1,Drop Off Facility 2,Drop Off Facility 3,Drop Off Facility 4,Drop Off Facility 5,Drop Off Facility 6,
10050,Albury,C,RAMJO Murray,Rest of NSW,,,54353,25090,250,23112,23922,0,23922,0,Yes,,Albury Waste Management Centre,,,,,,
10130,Armidale Regional,A,NIRW,Rest of NSW,,,30779,11075,387.27,11075,10105,0,10105,0,Yes,,Armidale Waste Transfer Station,Guura Waste Transfer Station,,,,,
10250,Ballina,A,NEWF,RRA,,,44628,18648,407,16944,16944,0,14457,0,Yes,,Ballina Waste Management Centre,,,,,,
10300,Balranald,A,RAMJO Murray,Rest of NSW,,,2338,1620,338,844,0,0,0,786,No,,,,,,,,
10470,Bathurst Regional,A,NetWaste,Rest of NSW,,,43618,19935,413,15374,15331,0,13823,0,Yes,,Rockley Transfer Station,Sofala Transfer Station,Sunny Corner Transfer Station,Trunkey Creek Transfer Station,Bathurst Waste Management Centre,Hill End Landfill,
10500,Bayside Council ,C,SSROC,SMA,,,178396,66049,503.05,65956,65956,9000,0,65956,Yes,,,,,,,,
10550,Bega Valley,A,CRJO,Rest of NSW,,,34476,17457,501,12370,12270,0,12270,0,Yes,,Bemboka Waste Transfer Station,Bermagui Waste and Recycling Depot,Candelo Waste Transfer Station,Cobargo Waste Transfer Station,Eden Waste and Recycling Depot,Merimbula Waste and Recycling Depot,Wallagoot Waste and Recycling Depot
10600,Bellingen,A,MidWaste,RRA,,,12996,8000,728,4300,4300,0,4300,7743,No,,,,,,,,
10650,Berrigan,A,RAMJO Murray,Rest of NSW,,,8750,5464,322,3190,3190,0,0,0,Yes,,Berrigan Landfill,Tocumwal Transfer Station,,,,,
10750,Blacktown,C,WSROC,SMA,,,374451,139861,574,130720,130720,0,0,135491,Yes,,ToxFree - St Marys ,,,,,,
