LGA Code,LGA Name,Region Type,Council Name,Regional Groups,,,Population,Households Surveyed,Average Domestic Waste Management Cost (DWMC) $,Households with Residual Waste Service,Households with Recycling Service,Households with Garden Organics Service,Households with Food and Garden Organics Service,Clean Up Service occurences ,Drop Off Service access,,Drop Off Facility 1,Drop Off Facility 2,Drop Off Facility 3,Drop Off Facility 4,Drop Off Facility 5,Drop Off Facility 6,
10800,Bland,A,REROC,Rest of NSW,,,5972,4509,412,1975,0,0,0,0,Yes,,West Wyalong Landfill,,,,,,
10850,Blayney,A,NetWaste,Rest of NSW,,,7379,4081,380,2685,2642,0,0,3632,Yes,,Blayney Waste Facility,,,,,,
10900,Blue Mountains,C,WSROC,RRA,,,79118,38327,411.7,33422,33422,33422,0,28471,Yes,,Blaxland Waste and Resource Recovery Facility,Katoomba Resource Recovery and Waste Management Facilitiy,,,,,
10950,Bogan,A,NetWaste,Rest of NSW,,,2580,2115,359,1095,1095,0,0,0,Yes,,Nyngan Waste Facility,,,,,,
11150,Bourke,A,NetWaste,Rest of NSW,,,2590,1030,285,953,0,0,0,0,No,,,,,,,,
11200,Brewarrina,A,NetWaste,Rest of NSW,,,1611,725,454,669,0,0,0,0,Yes,,Brewarrina Waste Depot,Goodooga Waste Depot,Angledool Waste depot,Weilmoringle Waste depot,,,
11250,Broken Hill,C,NetWaste,Rest of NSW,,,17479,10600,282,8774,0,0,8774,0,Yes,,Broken Hill Waste Management Facility ,,,,,,
11300,Burwood,A,SSROC,SMA,,,40612,14233,408.85,14061,14233,14233,0,14061,Yes,,,,,,,,
11350,Byron,A,NEWF,RRA,,,35081,17785,394,17388,14795,0,11236,17406,Yes,,Byron Resource Recovery Facility,,,,,,
11400,Cabonne,A,NetWaste,Rest of NSW,,,13634,7073,397.4,3640,3640,0,0,7073,Yes,,Canowindra Waste Management Facility,Cumnock Waste Management Facility,Eugowra Waste Management Facility,Manildra Waste Management Facility,,,
11450,Camden,A,MACROC,SMA,,,101437,40542,364,37206,35583,33759,0,36537,Yes,,Camden Council Administration Building,Camden Library,Narellan Library,Macarthur Centre for Sustainabale Living,"13 collection sites - sharps, syringe etc",,
11500,Campbelltown,C,MACROC,SMA,,,170943,61295,353.03,58448,58448,57033,0,58938,Yes,,,,,,,,
11520,Canada Bay,A,SSROC,SMA,,,96074,37669,402.5,36683,37669,37669,0,36683,Yes,,Community Recycling Centre,,,,,,
11570,Canterbury-Bankstown,A,SSROC,SMA,,,377917,127174,547.5,119060,119060,92031,0,119060,Yes,,,,,,,,
11600,Carrathool,A,RAMJO Riverina,Rest of NSW,,,2799,1330,203,600,0,0,0,0,No,,,,,,,,
11650,Central Coast,C,Hunter,ERA,,,343968,135065,502,132992,135065,127578,0,133233,Yes,,Buttonderry Waste Management Facility,Woy Woy Waste Management Facility,Kincumber Transfer Station,,,,
11700,Central Darling,A,NetWaste,Rest of NSW,,,1839,1953,617,719,0,0,0,0,Yes,,Wilcannia Landfill,Ivanhoe Landfill,Menindee Landfill,White Cliffs Landfill,,,
11720,Cessnock,C,Hunter,ERA,,,59985,27969,588,23811,23382,23274,0,0,Yes,,Cessnock Waste Management Centre,,,,,,
11730,Clarence Valley,A,NEWF,RRA,,,51662,26642,353,22837,22425,0,18034,0,Yes,,Grafton Landfill,Glenreagh Waste Transfer Station,Grafton Waste Transfer Station,Maclean Waste Transfer Station,Tyringham Waste Transfer Station,Copmanhurst Waste Transfer Station,Iluka Waste Transfer Station
11750,Cobar,A,NetWaste,Rest of NSW,,,4658,2887,244,1763,0,0,0,0,Yes,,Cobar Landfill,Canbelego Transfer,Nymagee  Landfill,Euabalong,Euabalong West,Mount Hope,
11800,Coffs Harbour,C,MidWaste,RRA,,,77277,34351,695,30197,30181,0,29700,32305,Yes,,Englands Road Waste Management Facility,Woolgoolga Transfer Station,Coramba Transfer Station,Lowanna Transfer Station,,,
12000,Coolamon,A,REROC,Rest of NSW,,,4341,3028,283.55,1645,1669,0,1213,2650,No,,,,,,,,
12150,Coonamble,A,NetWaste,Rest of NSW,,,3958,2767,280,1527,0,0,0,0,Yes,,Coonamble Landfill,Gulargambone Transfer station,Quambone Landfill,,,,
12160,Cootamundra - Gundagai,A,REROC,Rest of NSW,,,11235,6194,516,5861,5861,4279,1582,0,No,,,,,,,,
12350,Cowra,A,NetWaste,Rest of NSW,,,12743,4401,649,4039,4401,0,0,0,Yes,,"Woodstock Landfill, Noyeau St, Woodstock",,,,,,
12380,Cumberland,A,WSROC,SMA,,,241521,76202,480,75330,75330,32887,0,75330,Yes,,,,,,,,
12390,Dubbo Regional,A,NetWaste,Rest of NSW,,,53719,21789,399.1,19370,19370,0,15694,21789,Yes,,Whylandra Waste & Recycling Centre,Wellington Waste Facility,,,,,
12700,Dungog,A,Hunter,RRA,,,9423,5272,442,3738,3703,0,0,4416,Yes,,Dungog Waste Management Facility,,,,,,
12730,Edward River,A,RAMJO Murray,Rest of NSW,,,9084,5023,368,3528,0,0,0,0,Yes,,Deniliquin Waste Disposal Depot,Blighty Landfill,Booroorban Landfill,Conargo Landfill,Pretty Pine Landfill,Wanganella Landfill,
12750,Eurobodalla,A,CRJO,Rest of NSW,,,38473,24250,304.75,22807,22582,21046,0,22224,Yes,,Surfbeach Waste Management Facility,Brou Waste Management Facility,Moruya Transfer Station,,,,
12850,Fairfield,C,WSROC,SMA,,,211695,68266,500.5,65334,65334,0,0,67263,Yes,,Recycling Drop Off Centre,,,,,,
12870,Federation,A,RAMJO Murray,Rest of NSW,,,12437,8900,340,5751,5344,0,5324,0,Yes,,Corowa Landfill,Mulwala Transfer station,Howlong Landfill,Urana Landfill,Oaklands Landfill,Community Recycling Centre,
12900,Forbes,A,NetWaste,Rest of NSW,,,9906,4242,515,3340,3244,0,3283,4135,Yes,,Daroobalgie Waste Management Facility,Bedgerabong Landfill,Garema Landfill,Ootha Landfill,,,
12930,Georges River,A,SSROC,SMA,,,159471,52000,454.28,49340,29779,19430,0,52000,Yes,,HCC,Mortdale Depot,,,,,
12950,Gilgandra,A,NetWaste,Rest of NSW,,,4239,2569,424,2166,2166,0,0,0,Yes,,Gilgandra Waste Facility,,,,,,
13010,Glen Innes Severn,A,NIRW,Rest of NSW,,,8871,5430,315,3774,2804,0,0,0,Yes,,Glen Innes and District Community Recycling Centre,Emmaville Landfill Facility,Deepwater Landfill Facility,Red Range Landfill Facility,,,
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW,,,31132,16722,355,9716,9730,0,9703,10662,Yes,,Goulburn Waste Management Centre,Marulan Waste Management Centre,Tarago Waste Management Centre,,,,
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW,,,10764,6935,275,3789,3672,0,0,0,Yes,,Culcairn landfill,Brocklesby Transfer Station,Gerogery transfer Station,Burrumbuttock Transfer Station,Jindera Transfer Station,Holbrook Landfill,Henty Transfer Station
13450,Griffith,C,RAMJO Riverina,Rest of NSW,,,27029,11365,313,9749,8078,0,0,0,Yes,,Tharbogang Waste Transfer Station,Yenda Waste Transfer Station,,,,,
13550,Gunnedah,A,NIRW,Rest of NSW,,,12681,4560,483,4236,4205,3252,0,0,Yes,,Gunnedah Waste Management Facility,Curlewis Waste Facility,Carroll Waste Facility,Mullaley Waste Facility,Tambar Springs Facility,,
13660,Gwydir,A,NIRW,Rest of NSW,,,5353,3276,415,1360,1346,0,1346,0,Yes,,Bingara Landfill,Warialda Landfill,Coolatai Landfill,Croppa Creek Landfill,Warialda Landfill,Upper Horton Landfill,Gravesend Landfill
13800,Hawkesbury,C,WSROC,ERA,,,67296,25856,660.29,24594,24633,14172,0,23879,Yes,,Hawkesbury City Waste Management Facility,,,,,,
13850,Hay,A,RAMJO Riverina,Rest of NSW,,,2949,1799,278,1500,0,0,0,1799,Yes,,Hay Shire Council Waste Transfer Station,,,,,,
13910,Hilltops,A,CRJO,Rest of NSW,,,18704,10965,347,5354,5284,4574,0,0,Yes,,Victoria Street,Boorowa Landfill,Murrumbah,Koorawatha,Rye Park,Millvale,Other Facilities
14000,Hornsby,A,NSROC,SMA,,,152059,52388,512,52388,52388,52388,0,52388,Yes,,Thornleigh Community Recycling Centre,Thornleigh Depot,,,,,
14100,Hunters Hill,A,NSROC,SMA,,,14980,5248,537.35,4925,3579,4626,0,5221,No,,,,,,,,
14170,Inner West,A,SSROC,SMA,,,200811,76179,544,67459,64479,34322,382,74273,Yes,,Weekend Transfer Station,St Peters depot,Summer Hill depot,,,,
14200,Inverell,A,NIRW,Rest of NSW,,,16890,8533,330,7099,7099,0,0,0,Yes,,Inverell Landfill,Bonshaw Landfill,Delungra Landfill,Ashford Waste Transfer Station,Yetman Waste Transfer Station,Tingha Landfill,
14300,Junee,A,REROC,Rest of NSW,,,6683,2994,380.7,1843,1832,0,1832,0,Yes,,Junee Landfill,,,,,,
14350,Kempsey,A,MidWaste,RRA,,,29745,13743,403,12000,12000,0,12000,0,Yes,,Kempsey Waste Management Centre,South West Rocks Transfer Station,Stuarts Point Transfer Station,Bellbrook Transfer Station,,,
14400,Kiama,A,ISJO,ERA,,,23386,11186,590.11,10771,10798,0,10798,11240,Yes,,Minnamurra Waste Depot,,,,,,
14500,Ku-ring-gai,A,NSROC,SMA,,,127153,45235,455,45109,45109,36290,0,45109,Yes,,Gordon Library,,,,,,
14550,Kyogle,A,NEWF,RRA,,,8796,4042,473,1960,1960,0,0,0,Yes,,Kyogle Landfill Facility,,,,,,
14600,Lachlan,A,NetWaste,Rest of NSW,,,6075,4257,515,2714,2678,1302,0,0,No,,,,,,,,
14650,Lake Macquarie,C,Hunter,ERA,,,205901,85914,440,83820,82150,0,83732,85914,Yes,,Awaba Waste Management Facility,,,,,,
14700,Lane Cove,A,NSROC,SMA,,,40155,18369,447,18308,14349,8053,0,18308,No,,,,,,,,
14750,Leeton,A,RAMJO Riverina,Rest of NSW,,,11445,4227,280,4074,4045,0,0,0,Yes,,Whitton Domestic Waste Collection Point ,Leeton Landfill and Recycling Center ,,,,,
14850,Lismore,C,NEWF,RRA,,,43692,18283,310.6,14776,14776,0,12670,0,Yes,,Lismore Waste Facility,Brewster Street Drop Off Centre,Nimbin Transfer Station,,,,
14870,Lithgow,C,NetWaste,Rest of NSW,,,21605,11497,459.81,8734,8563,0,0,10908,Yes,,Lithgow Solid Waste Facility,Portland Garbage Depot,Wallerawang Garbage Depot,Cullen Bullen Garbage Depot,Capertee Garbage Depot,Glen Davis Garbage Depot,
14900,Liverpool,C,WSROC,SMA,,,227585,79955,456,64917,70604,57201,0,76918,Yes,,Liverpool Community Recycling Centre,,,,,,
14920,Liverpool Plains,A,NIRW,Rest of NSW,,,7903,4200,396,2900,2900,0,0,0,Yes,,,,,,,,
14950,Lockhart,A,REROC,Rest of NSW,,,3285,2600,390,1200,1000,0,0,1280,Yes,,Lockhart Community Recycling Centre,Pleasant Hills Waste Depot,The Rock Waste Depot,Yerong Creek Waste Depot,,,
15050,Maitland,C,Hunter,ERA,,,85166,34972,507.45,31882,31882,31882,0,32970,Yes,,Mt Vincent Rd Waste Management Centre,,,,,,
15240,Mid-Coast,A,MidWaste,RRA,,,93836,47401,432,45408,45408,37768,0,46388,Yes,,Stroud Waste Management Centre,Bulahdelah Waste Management Centre,Tea Gardens Waste Management Centre,Tuncurry Waste Management Centre,Taree Waste Management Centre,Gloucester Waste Management Centre,
15270,Mid-Western Regional,A,NetWaste,Rest of NSW,,,25251,15473,289,7998,7998,0,7998,0,Yes,,Kandos Waste Transfer Station,Kandos Waste Transfer Station,Other Waste Transfer Stations x13,,,,
15300,Moree Plains,A,NIRW,Rest of NSW,,,13261,6469,440,4913,4654,0,4676,4454,Yes,,Moree Waste Management Facility,Biniguy Landfill,Boggabilla Landfill,Boomi Landfill,Garah Landfill,Gurley Landfill,Mungindi Landfill
15350,Mosman,A,NSROC,SMA,,,30981,13094,608,13094,13094,13094,0,13094,Yes,,Kimbriki Resource Recovery Centre,,,,,,
15520,Murray River,A,RAMJO Murray,Rest of NSW,,,12118,8836,367,5027,4694,2519,0,0,Yes,,Moama Landfill,Mathoura Transfer Station,Barham Transfer Station,Moulamein Landfill,Wakool Landfill,Koraleigh Landfill,Goodnight Landfill
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW,,,3917,2457,162,1164,719,0,0,1260,Yes,,Darlington Point Transfer Station ,,,,,,
15650,Muswellbrook,A,Hunter,RRA,,,16377,8012,400,6211,6107,5610,0,6925,Yes,,Muswellbrook Waste & Recycling Centre,Denman Transfer Station,,,,,
15700,Nambucca,A,MidWaste,RRA,,,19805,10021,543,7836,7639,0,7639,6826,Yes,,Nambucca Waste Management Facility,,,,,,
15750,Narrabri,A,NIRW,Rest of NSW,,,13135,5795,330,4333,2138,2159,0,5151,Yes,,8 transfer Stations,,,,,,
15800,Narrandera,A,RAMJO Riverina,Rest of NSW,,,5899,2500,210,2150,2150,0,0,0,Yes,,Narrandera Waste Depot,Barellan Waste Depot,,,,,
15850,Narromine,A,NetWaste,Rest of NSW,,,6517,3360,385,2234,2121,0,2121,2417,No,,,,,,,,
15900,Newcastle,C,Hunter,ERA,,,165571,71999,347.91,51797,51571,52258,0,67332,Yes,,Summerhill Waste Management Centre,,,,,,
15950,North Sydney,A,NSROC,SMA,,,75021,37245,400,35891,33770,8541,0,36589,Yes,,Northern Sydney Community Recycling Centre,Coal Loader Centre for Sustainability,,,,,
15990,Northern Beaches,A,,SMA,,,273499,112848,405,110774,110774,110774,0,110774,Yes,,Manly Customer Service Centre,Mona Vale Customer Service Centre,Dee Why Customer Service,Avalon Beach Customer Service,,,
16100,Oberon,A,NetWaste,Rest of NSW,,,5411,3965,210,1336,0,0,0,1336,Yes,,Oberon Waste Depot,Burraga,Black Springs,,,,
16150,Orange,C,NetWaste,Rest of NSW,,,42451,19011,428.35,16547,16542,0,16528,16679,Yes,,Ophir Road Resource Recovery Centre,Community Recycling Centre,,,,,
16200,Parkes,A,NetWaste,Rest of NSW,,,14837,7972,410,5081,5081,0,5081,6921,Yes,,Parkes Waste Facility,Peak Hill Transfer Station,Alectown Landfill,Bogan Gate Landfill,Gunningbland Landfill,Trundle Landfill,Tullamore Landfill
16260,Parramatta,C,WSROC,SMA,,,257197,98341,427.95,85907,85907,85907,0,97456,Yes,,,,,,,,
16350,Penrith,C,WSROC,SMA,,,212977,79936,399,78483,78483,0,66814,78483,No,,,,,,,,
16380,Port Macquarie-Hastings,A,MidWaste,RRA,,,84525,38743,447,31245,31886,0,17232,37957,Yes,,Cairncross Waste Management Facility,Wauchope Transfer Station,Kew Transfer Station,Port Macquarie Transfer Station,Comboyne Transfer Station,,
16400,Port Stephens,A,Hunter,ERA,,,73481,34721,427,32782,32782,0,0,0,Yes,,Salamander Bay Waste Transfer Station,,,,,,
16490,Queanbeyan-Palerang Regional,A,CRJO,Rest of NSW,,,61100,26339,328,20306,20855,14031,2185,25431,Yes,,Bungendore Waste Transfer Station,Braidwood Waste Transfer Station,Bywong Transfer Station,Captains Flat Waste Transfer Station,Waste Minimisation Centre,Nerriga Landfill,
16550,Randwick,C,SSROC,SMA,,,155649,59249,586,56145,58055,47804,3992,58889,Yes,,Randwick Recycling Centre,,,,,,
16610,Richmond Valley,A,NEWF,RRA,,,23465,10679,593,7867,7867,0,7867,0,Yes,,Nammoona Waste and Resource Recovery Facility,Evans Head Transfer Station,Bora Ridge Transfer Station,,,,
16700,Ryde,C,NSROC,SMA,,,131271,50601,422,50398,33627,28291,0,50398,Yes,,,,,,,,
16900,Shellharbour,C,ISJO,ERA,,,73233,29295,430,28774,28357,0,26833,26609,Yes,,Dunmore Waste and Recycling Facility,,,,,,
16950,Shoalhaven,C,ISJO,ERA,,,105648,56937,385,51438,51438,0,0,55162,Yes,,West Nowra Recycling and Waste Facility,Ulladulla Recycling and Waste Transfer Facility,Huskisson Recycling and Waste Transfer Facility,Berry Recycling and Waste Transfer Facility,Callala Recycling and Waste Transfer Facility,Sussex Inlet Recycling and Waste Transfer Facility,Kioloa Recycling & Waste Depot
17000,Singleton,A,Hunter,RRA,,,23461,11194,440,9569,8701,9011,0,10774,Yes,,Singleton Waste Management Facility,Community Recycling Centre,,,,,
17040,Snowy Monaro Regional,A,CRJO,Rest of NSW,,,20795,12424,503,7660,7271,0,2731,0,Yes,,Adaminaby Transfer Station,Berridale Transfer Station,Bredbo Transfer Station,Cooma Landfill,Bombala Waste Depot,Jindabyne Regional Waste Management Facility,Nimmitabel Transfer Station
17080,Snowy Valleys,A,CRJO,Rest of NSW,,,14479,6948,460,5938,5888,0,0,0,Yes,,Adelong,Batlow,Khancoban,Talbingo,Tumbarumba,Tumut,
17100,Strathfield,A,,SMA,,,46926,16441,740,16396,16441,6005,0,16396,Yes,,,,,,,,
17150,Sutherland Shire,A,SSROC,SMA,,,230611,99542,456.3,89321,88005,88005,0,96880,Yes,,,,,,,,
17200,Sydney,C,SSROC,SMA,,,246343,128842,419,75000,75000,4528,7300,114972,Yes,,"Alexandra Canal Depot, 76c Bourke Str, Alexandria",,,,,,
17310,Tamworth Regional,A,NIRW,Rest of NSW,,,62541,28000,314,26908,24908,19600,0,24500,Yes,,Forest Road Waste Management Facility,Barraba Landfill,Manilla Landfill,Nundle Landfill,Somerton Small Vehicle Transfer Stations,Kootingal Small Vehicle Transfer Stations,Duri Landfill
17350,Temora,A,REROC,Rest of NSW,,,6307,3852,239.2,2399,0,0,0,1957,Yes,,Temora Landfill Site,Ariah Park Landfill Site,Lions Club Recycling Depot,,,,
17400,Tenterfield,A,NIRW,Rest of NSW,,,6594,4933,554,2314,1740,0,0,0,Yes,,Tenterfield Waste Transfer Station,Liston Waste Transfer Station,Legume Waste Transfer Station,Drake Waste Transfer Station,Urbenville Waste Transfer Station,Torrington Industrial Collections,Mingoola Industrial Bin
17420,The Hills Shire,A,WSROC,SMA,,,177969,65641,475,52790,53652,51412,0,60078,Yes,,,,,,,,
17550,Tweed,A,NEWF,RRA,,,97001,42420,357.4,39167,39187,0,26700,40246,Yes,,Stotts Creek Resource Recovery Centre,Return and Earn sites,Eviron Road Landfill Quarry Project,,,,
17620,Upper Hunter Shire,A,Hunter,RRA,,,14180,7794,655,5815,5285,0,0,4552,Yes,,Scone Waste Management Facility,Aberdeen Waste Management Facility,Murrurundi Waste Management Facility,Merriwa Waste Management Facility,,,
17640,Upper Lachlan Shire,A,CRJO,Rest of NSW,,,8059,6000,447,2200,2200,2200,0,0,Yes,,Bigga Landfill,Crookwell Landfill,Gunning Waste Depot,Tuena Landfill,,,
17650,Uralla,A,NIRW,Rest of NSW,,,6012,3200,342,2000,2000,2000,0,0,Yes,,Uralla Waste Facility,Bundarra Transfer Station,Kingstown Transfer Station,,,,
17750,Wagga Wagga,C,REROC,Rest of NSW,,,65258,25261,357,25261,23687,0,25785,25261,Yes,,Gregadoo Waste Management Centre,Transfer Stations,,,,,
17850,Walcha,A,NIRW,Rest of NSW,,,3134,1789,596,827,812,809,0,0,Yes,,Walcha Waste Depot,Woolbrook Landfill,Nowendoc Landfill,,,,
17900,Walgett,A,NetWaste,Rest of NSW,,,5953,4868,497,1533,0,0,0,0,Yes,,Walgett Waste Facility,Lightning Ridge Waste Facility,Rowena Waste Facility,Come By Chance Waste Facility ,Burren Junction Waste Facility,Carinda Waste Facility,Collarenebri Waste Facility
17950,Warren,A,NetWaste,Rest of NSW,,,2697,2053,278,950,0,0,0,0,Yes,,Ewenmar Waste facility,,,,,,
18020,Warrumbungle Shire,A,NetWaste,Rest of NSW,,,9278,6622,372,6622,6622,0,0,5805,Yes,,Warrumbungle Shire Council,,,,,,
18050,Waverley,A,SSROC,SMA,,,74295,31709,562,29569,29569,19835,0,29569,Yes,,Customer Service Centre,AIF,,,,,
18100,Weddin,A,NetWaste,Rest of NSW,,,3613,2606,310,1142,1046,0,0,0,Yes,,Grenfell Waste Faciltity,Quandialla Landfill,Caragabal Landfill,,,,
18200,Wentworth,A,RAMJO Murray,Rest of NSW,,,7053,2904,295,2316,0,0,0,0,Yes,,Buronga Landfill,Pomona Landfill,Ellerslie landfill,Pooncarie Landfill,Dareton Transfer station,Wentworth Transfer Station,
18250,Willoughby,C,NSROC,SMA,,,81189,32319,530,29827,32319,32319,0,29827,No,,,,,,,,
18350,Wingecarribee,A,CRJO,ERA,,,51134,20959,422,19591,19591,19170,0,19591,Yes,,Resource Recovery Centre,,,,,,
18400,Wollondilly,A,MACROC,RRA,,,53149,21477,544.8,19188,16066,12833,0,19653,Yes,,Bargo Waste Management Centre,,,,,,
18450,Wollongong,C,ISJO,ERA,,,218114,90465,411,84768,84762,84762,0,85815,Yes,,Wollongong Waste and Resource Recovery Park,,,,,,
18500,Woollahra,A,SSROC,SMA,,,59387,26616,536.65,26187,26187,0,12773,26187,No,,,,,,,,
18710,Yass Valley,A,CRJO,Rest of NSW,,,17087,7659,397,4589,4589,0,0,0,Yes,,Yass Transfer Station,Murrumbateman Transfer Station,Binalong Transfer Station,Gundaroo Transfer Station,Bookham Transfer Station,Bowning Transfer Station,
