,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
10050,Albury,C,RAMJO Murray,Rest of NSW," 6,436 ", -   ," 6,436 ",, 180 , -   ,, -   , -   ,," 5,685 ", -   ," 5,685 ",, -   , -   ,, -   , -   , -   ,," 12,301 ",," 12,121 ", -   ," 12,121 ", 180 , -   
10130,Armidale Regional,A,NIRW,Rest of NSW," 4,666 ", -   ," 4,666 ",, -   , -   ,, 19 , -   ,," 1,932 ", -   ," 1,932 ",, -   , -   ,, -   , -   , -   ,," 6,617 ",," 6,598 ", -   ," 6,598 ", 19 , -   
10250,Ballina,A,NEWF,RRA," 6,921 ", -   ," 6,921 ",, 168 , 80 ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, -   , -   , -   ,," 7,168 ",," 6,921 ", -   ," 6,921 ", 168 , 80 
10300,Balranald,A,RAMJO Murray,Rest of NSW, 676 , -   , 676 ,," 1,229 ", 29 ,, -   , -   ,, 100 , -   , 100 ,, 59 , -   ,, 25 , -   , 25 ,," 2,118 ",, 801 , -   , 801 ," 1,288 ", 29 
10470,Bathurst Regional,A,NetWaste,Rest of NSW," 8,109 ", -   ," 8,109 ",, 360 , 25 ,, -   , -   ,," 6,958 ", 44 ," 6,914 ",, -   , -   ,, -   , -   , -   ,," 15,407 ",," 15,066 ", 44 ," 15,022 ", 360 , 25 
10500,Bayside Council ,C,SSROC,SMA," 41,637 "," 7,264 "," 34,373 ",, 72 , 31 ,, 18 , -   ,, 2 , 2 , 0 ,, -   , -   ,," 7,338 "," 3,383 "," 3,955 ",," 38,449 ",," 48,977 "," 10,649 "," 38,328 ", 91 , 31 
10550,Bega Valley,A,CRJO,Rest of NSW," 7,203 ", -   ," 7,203 ",, 27 , -   ,, 70 , -   ,," 4,169 ", -   ," 4,169 ",, -   , -   ,, -   , -   , -   ,," 11,469 ",," 11,372 ", -   ," 11,372 ", 97 , -   
