,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
11720,Cessnock,C,Hunter,ERA," 4,034 "," 3,892 ", 141 ,," 1,461 "," 1,461 ",,," 2,017 "," 2,017 ", -   ,, -   , -   , -   ,," 7,512 "," 7,371 ", 141 
11730,Clarence Valley,A,NEWF,RRA," 5,210 "," 5,052 ", 158 ,," 1,630 "," 1,630 ",,," 1,562 "," 1,562 ", -   ,, 352 , 352 , -   ,," 8,754 "," 8,596 ", 158 
11750,Cobar,A,NetWaste,Rest of NSW, -   , -   , -   ,, 62 , 62 ,,, -   , -   , -   ,, -   , -   , -   ,, 62 , 62 , -   
11800,Coffs Harbour,C,MidWaste,RRA," 7,382 "," 7,015 ", 367 ,," 2,126 "," 2,126 ",,," 3,066 "," 3,066 ", -   ,, -   , -   , -   ,," 12,574 "," 12,207 ", 367 
12000,Coolamon,A,REROC,Rest of NSW, 281 , 269 , 12 ,, 10 , 10 ,,, -   , -   , -   ,, -   , -   , -   ,, 291 , 279 , 12 
12150,Coonamble,A,NetWaste,Rest of NSW, -   , -   , -   ,, 45 , 45 ,,, -   , -   , -   ,, -   , -   , -   ,, 45 , 45 , -   
12350,Cowra,A,NetWaste,Rest of NSW, 999 , 444 , 555 ,, 363 , 363 ,,, -   , -   , -   ,, -   , -   , -   ,," 1,362 ", 807 , 555 
12380,Cumberland,A,WSROC,SMA," 9,827 "," 8,848 ", 979 ,," 2,217 "," 2,217 ",,, 29 , 29 , -   ,, -   , -   , -   ,," 12,073 "," 11,094 ", 979 
12700,Dungog,A,Hunter,RRA, 729 , 672 , 57 ,, 3 , 3 ,,, 800 , 800 , -   ,, 99 , 99 , -   ,," 1,632 "," 1,574 ", 57 
12730,Edward River,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,, 416 , 416 ,,, 193 , 164 , 29 ,, -   , -   , -   ,, 610 , 581 , 29 
12750,Eurobodalla,A,CRJO,Rest of NSW," 4,115 "," 3,663 ", 452 ,," 1,039 "," 1,039 ",,, 957 , 957 , -   ,, 363 , 363 , -   ,," 6,473 "," 6,021 ", 452 
12850,Fairfield,C,WSROC,SMA," 10,148 "," 8,250 "," 1,899 ",," 2,910 "," 2,910 ",,, 81 , 80 , 1 ,, -   , -   , -   ,," 13,139 "," 11,239 "," 1,899 "
12870,Federation,A,RAMJO Murray,Rest of NSW," 1,041 ", 998 , 43 ,, 705 , 705 ,,, 62 , 62 , -   ,, -   , -   , -   ,," 1,807 "," 1,764 ", 43 
12900,Forbes,A,NetWaste,Rest of NSW, 473 , 440 , 32 ,, 205 , 205 ,,, -   , -   , -   ,, -   , -   , -   ,, 677 , 645 , 32 
12930,Georges River,A,SSROC,SMA," 11,912 "," 9,887 "," 2,025 ",, 874 , 874 ,,, 5 , 5 , -   ,, -   , -   , -   ,," 12,791 "," 10,766 "," 2,025 "
12950,Gilgandra,A,NetWaste,Rest of NSW, 324 , 311 , 13 ,, 21 , 21 ,,, -   , -   , -   ,, -   , -   , -   ,, 345 , 332 , 13 
13010,Glen Innes Severn,A,NIRW,Rest of NSW, 440 , 396 , 44 ,, 195 , 195 ,,, -   , -   , -   ,, -   , -   , -   ,, 635 , 591 , 44 
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW," 2,633 "," 1,326 "," 1,308 ",, 659 , 659 ,,, 983 , 983 , -   ,, 57 , 57 , -   ,," 4,332 "," 3,024 "," 1,308 "
