LGA Code,LGA Name,Region Type,Council Name,Regional Groups,,,Population,Households Surveyed,Average Domestic Waste Management Cost (DWMC) $,Households with Residual Waste Service,Households with Recycling Service,Households with Garden Organics Service,Households with Food and Garden Organics Service,Clean Up Service occurences ,Drop Off Service access,,Drop Off Facility 1,Drop Off Facility 2,Drop Off Facility 3,Drop Off Facility 4,Drop Off Facility 5,Drop Off Facility 6,
12750,Eurobodalla,A,CRJO,Rest of NSW,,,38288,23828,304.57,22593,22362,20756,0,21715,Yes,,Brou Waste Management Facility,Surfbeach Waste Management Facility,Moruya Transfer Station,,,,
12850,Fairfield,C,WSROC,SMA,,,210612,64780,494.57,62357,62357,0,0,63007,Yes,,Recycling Drop Off Centre,,,,,,
12870,Federation,A,RAMJO Murray,Rest of NSW,,,12462,6670,325,6350,5840,0,5840,0,Yes,,Corowa Landfill,Howlong Landfill,Mulwala Transfer station,Oaklands Landfill,Urana Landfill,,
12900,Forbes,A,NetWaste,Rest of NSW,,,9910,4248,515,3067,3067,0,3067,4129,Yes,,Daroobalgie Waste Management Facility,,,,,,
12930,Georges River,A,SSROC,SMA,,,158411,50656,464,50656,50656,50656,0,50656,Yes,,Mortdale Depot,,,,,,
12950,Gilgandra,A,NetWaste,Rest of NSW,,,4226,1952,402,1641,1641,0,0,0,No,,Gilgandra Waste Facility,Tooraweenah Recycling Drop-off,Armatree Recycling Drop-off,Gilgandra Waste Facility,,,
13010,Glen Innes Severn,A,NIRW,Rest of NSW,,,8908,5423,310,3779,3750,0,0,0,No,,Glen Innes and District Community Recycling Centre,Emmaville Landfill Facility,Deepwater Landfill Facility,Red Range Landfill Facility,,,
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW,,,30852,16423,330,9538,9531,0,3812,9849,Yes,,Goulburn Waste Management Centre,Marulan Waste Management Centre,Tarago Waste Management Centre,,,,
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW,,,10686,6903,265,3632,3624,0,0,0,No,,Culcairn landfill,Brocklesby Transfer Station,Gerogery transfer Station,Burrumbuttock Transfer Station,Jindera Transfer Station,Holbrook Landfill,Henty Transfer Station
13450,Griffith,C,RAMJO Riverina,Rest of NSW,,,26882,11319,284,8427,7980,0,0,0,Yes,,Tharbogang Waste Transfer Station,,,,,,
13510,Gundagai - Cootamundra,A,REROC,Rest of NSW,,,11260,5875,394,5875,5875,3226,2649,0,Yes,,Turners Lane,Stockinbingal Landfill,Wallendbeen Landfill,Gundagai Landfill ,4 transfer stations,,
13550,Gunnedah,A,NIRW,Rest of NSW,,,12661,4833,392,4328,4328,3417,0,0,Yes,,Gunnedah Waste Management Facility,Curlewis Waste Facility,Carroll Waste Facility,Mullaley Waste Facility,Breeza Waste Facility,Tambar Springs Facility,
13660,Gwydir,A,NIRW,Rest of NSW,,,5349,3266,469,1342,1342,0,1342,0,Yes,,Bingara Landfill,Warialda Landfill,Coolatai Landfill,Croppa Creek Landfill,Gravesend Landfill,Upper Horton Landfill,
13800,Hawkesbury,C,WSROC,ERA,,,67083,25667,639.51,24329,24329,13910,0,23771,Yes,,Hawkesbury City Waste Management Facility,,,,,,
13850,Hay,A,RAMJO Riverina,Rest of NSW,,,2979,2142,317,2142,0,0,0,1420,Yes,,Hay Shire Council Waste Transfer Station,,,,,,
13910,Hilltops,A,CRJO,Rest of NSW,,,18782,10965,347,5354,5284,3581,0,0,No,,Victoria Street,Redhill Road,Boorowa Landfill,Harden Waste Transfer Station,Koorawatha,Other Facilities,
14000,Hornsby,A,NSROC,SMA,,,150752,51517,455,51517,51517,39400,0,51517,Yes,,Thornleigh Depot,,,,,,
14100,Hunters Hill,A,NSROC,SMA,,,14909,4978,525.56,4415,4344,3700,0,4951,No,,,,,,,,
14170,Inner West,A,SSROC,SMA,,,198024,75731,497.17,72661,72968,38570,5818,75415,Yes,,Moore St Community Recycling Centre,,,,,,
14200,Inverell,A,NIRW,Rest of NSW,,,16844,7980,330,6734,6734,0,0,0,Yes,,Ashford Waste Transfer Station,Bonshaw Landfill,Yetman Waste Transfer Station,Delungra Landfill,,,
14300,Junee,A,REROC,Rest of NSW,,,6631,3058,320.9,1795,1795,0,1655,0,Yes,,Junee Landfill,Rural Transfer Stations,,,,,
14350,Kempsey,A,MidWaste,RRA,,,29665,13743,403,11720,11586,0,11426,0,Yes,,Kempsey Waste Management Centre,South West Rocks Transfer Station,Stuarts Point Transfer Station,Bellbrook Transfer Station,,,
14400,Kiama,A,ISJO,ERA,,,23006,10144,557,9332,9852,0,9334,9941,Yes,,Minnamurra Community Recycling Centre,Minnamurra Waste Depot,,,,,
14500,Ku-ring-gai,A,NSROC,SMA,,,126046,44543,455,44459,44459,34845,0,31573,Yes,,,,,,,,
14550,Kyogle,A,NEWF,RRA,,,8870,4023,468,1955,1955,0,0,0,Yes,,Kyogle Landfill Facility,Woodenbong Landfill,,,,,
14600,Lachlan,A,NetWaste,Rest of NSW,,,6151,4412,486,2709,2676,1301,0,0,Yes,,Condobolin ,Lake Cargelligo ,Burcher ,Tuliibigeal,Tottenham ,,
14650,Lake Macquarie,C,Hunter,ERA,,,204914,80122,440,80122,80122,0,80122,80122,Yes,,Community Recycling Centre - Toxfree Awaba,Mattresses Awaba,Green Waste drop off - Awaba,Public Place Sharps,Awaba Waste Management Facility,E-waste/Metals/Other,
14700,Lane Cove,A,NSROC,SMA,,,39486,16223,445,10847,9275,13425,0,16222,No,,,,,,,,
14750,Leeton,A,RAMJO Riverina,Rest of NSW,,,11438,4191,263,4180,4083,0,0,0,Yes,,Leeton Landfill and Recycling Center ,,,,,,
14850,Lismore,C,NEWF,RRA,,,43843,18283,305.15,14776,14776,0,12670,0,Yes,,Nimbin Transfer Station,Brewster Street Drop Off Centre,Lismore Waste Facility,,,,
14870,Lithgow,C,NetWaste,Rest of NSW,,,21636,11057,459.81,9212,9208,0,0,10478,Yes,,Lithgow Solid Waste Facility,Portland Garbage Depot,Wallerawang Garbage Depot,Cullen Bullen Garbage Depot,Capertee Garbage Depot,Glen Davis Garbage Depot,
14900,Liverpool,C,WSROC,SMA,,,223304,59136,444,59136,59136,54744,0,58804,Yes,,Liverpool Community Recycling Centre,,,,,,
14920,Liverpool Plains,A,NIRW,Rest of NSW,,,7893,4452,396,2861,2813,0,0,1879,Yes,,,,,,,,
14950,Lockhart,A,REROC,Rest of NSW,,,3295,2635,390,964,964,0,0,1280,No,,The Rock Waste Depot,Lockhart Lions Club,REROC Household Hazardous Waste Collection,Lockhart Community Recycling Centre,,,
15050,Maitland,C,Hunter,ERA,,,83203,33117,494.95,31841,31841,31841,0,0,Yes,,Mt Vincent Rd Waste Management Centre,,,,,,
15240,Mid-Coast,A,MidWaste,RRA,,,93288,53179,432,51056,51618,37151,0,46198,Yes,,Bucketts Way Landfill,Gloucester Waste Management Centre,Tuncurry Waste Management Centre,Tea Gardens Waste Management Centre,Bulahdelah Waste Management Centre,Stroud Waste Management Centre,
15270,Mid-Western Regional,A,NetWaste,Rest of NSW,,,25086,15260,284,7819,7819,0,7819,0,Yes,,Kandos Waste Transfer Station,Mudgee Waste Facility,Other Waste Transfer Stations x13,,,,
15300,Moree Plains,A,NIRW,Rest of NSW,,,13350,6509,440,4400,4672,0,4676,4431,No,,Moree Waste Management Facility,Biniguy Landfill,Boggabilla Landfill,Boomi Landfill,Garah Landfill,Gurley Landfill,Mungindi Landfill
15350,Mosman,A,NSROC,SMA,,,30877,13695,356,13474,12817,8972,0,12817,Yes,,,,,,,,
15520,Murray River,A,RAMJO Murray,Rest of NSW,,,12118,5900,239,4100,4100,3500,0,0,Yes,,Mathoura Transfer Station,Moama Landfill,Barham Transfer Station,Wakool Landfill,Goodnight Landfill,Moulamein Landfill,Koraleigh Landfill
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW,,,3961,1800,132,1400,800,0,0,0,No,,,,,,,,
15650,Muswellbrook,A,Hunter,RRA,,,16383,8016,390,6189,6087,5664,0,5691,Yes,,Muswellbrook Waste & Recycling Facility,Denman Transfer Station,,,,,
15700,Nambucca,A,MidWaste,RRA,,,19773,9900,543,7404,7404,0,7404,6094,Yes,,Nambucca Waste Management Facility,,,,,,
15750,Narrabri,A,NIRW,Rest of NSW,,,13231,5859,320,4312,4292,0,4298,4539,No,,9 transfer stations,,,,,,
15800,Narrandera,A,RAMJO Riverina,Rest of NSW,,,5931,2516,210,2121,2121,0,0,0,No,,,,,,,,
15850,Narromine,A,NetWaste,Rest of NSW,,,6567,3840,375,2121,2121,0,2121,0,No,,Narromine Waste Facility,,,,,,
15900,Newcastle,C,Hunter,ERA,,,164104,66688,347.91,65694,65060,65050,0,65060,Yes,,Summerhill Waste Management Centre,Battery Brokers,Matilda's Service Station,Council Libraries and Customer Enquiry Centre,,,
15950,North Sydney,A,NSROC,SMA,,,74172,36785,370,35295,35295,7046,0,36589,No,,Coal Loader Centre for Sustainability,Northern Sydney Community Recycling Centre,,,,,
15990,Northern Beaches,A,,SMA,,,271278,97017,405,96567,96567,96567,0,96567,Yes,,Kimbriki - Vegetation,Kimbriki - eWaste,Kimbriki - Charity,,,,
16100,Oberon,A,NetWaste,Rest of NSW,,,5408,3795,210,1244,0,0,0,1244,Yes,,Oberon Waste Depot,Burraga,Black Springs,,,,
16150,Orange,C,NetWaste,Rest of NSW,,,42056,18828,408,16433,16429,0,16411,16361,Yes,,Ophir Road Resource Recovery Centre,,,,,,
16200,Parkes,A,NetWaste,Rest of NSW,,,14894,7985,410,5076,5076,0,5076,4911,Yes,,Tullamore Landfill,,,,,,
16260,Parramatta,C,WSROC,SMA,,,251311,94984,415.6,84083,48955,47603,0,94328,No,,,,,,,,
16350,Penrith,C,WSROC,SMA,,,209210,78710,399,76634,76634,0,60836,76734,Yes,,Libraries,,,,,,
16380,Port Macquarie-Hastings,A,MidWaste,RRA,,,83131,38354,447,30760,31389,0,30005,35534,Yes,,Cairncross Waste Management Facility,Port Macquarie Transfer Station,Wauchope Transfer Station,Kew Transfer Station,Dunbogan Landfill,Comboyne Transfer Station,
16400,Port Stephens,A,Hunter,ERA,,,72695,36118,418,34419,33956,0,0,13434,Yes,,Salamander Bay Waste Transfer Station,,,,,,
