,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
,,,,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
ERA,,,,,144971.01,136467.86,8503.15,,,,,,25069.04,24918.93,150.11,,1283.64,1282.64,1,,171323.69,162669.43,8654.26
RRA,,,,,89213.52,83204.27,6009.25,,,,,,35790.2,35652.92,137.28,,1263.45,1263.45,0,,126267.17,120120.64,6146.53
Rest of NSW,,,,,76580.82,69197.87,7382.95,,,,,,32261.81,31350.38,911.43,,875.47,875.47,0,,109718.1,101423.72,8294.38
,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,685540.02,627683.69,57856.33,,,,,,107087.286,97722.436,9364.85,,17771.32,17615.44,155.88,,810398.626,743021.566,67377.06
,2015-16,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,372300.31,339212.76,33087.55,,,,,,4871.286,3544.016,1327.27,,13229.7,13192.05,37.65,,390401.296,355948.826,34452.47
ERA,,,,,146660.39,134705.71,11954.68,,,,,,28754.23,26302.87,2451.36,,1795.41,1770.41,25,,177210.03,162778.99,14431.04
RRA,,,,,88764.47,83731.62,5032.85,,,,,,33081.37,32754.1,327.27,,1459.74,1459.74,0,,123305.58,117945.46,5360.12
Rest of NSW,,,,,77814.85,70033.6,7781.25,,,,,,40380.4,35121.45,5258.95,,1286.47,1193.24,93.23,,119481.72,106348.29,13133.43
,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,687514.46,638603.65,48910.81,,,,,,106330.29,101481.76,4848.53,,16981.394,16504.434,476.96,,810826.144,756589.844,54236.3
,2014-15,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,369704,341422.31,28281.69,,,,,,2183.08,2172.45,10.63,,12431.934,11976.224,455.71,,384319.014,355570.984,28748.03
ERA,,,,,147520.5,139489.72,8030.78,,,,,,20529.61,20475.65,53.96,,1988.84,1987.99,0.85,,170038.95,161953.36,8085.59
RRA,,,,,83224.44,78992.17,4232.27,,,,,,38744.7,36411.24,2333.46,,1349.48,1349.48,0,,123318.62,116752.89,6565.73
Rest of NSW,,,,,87065.52,78699.45,8366.07,,,,,,44872.9,42422.42,2450.48,,1211.14,1190.74,20.4,,133149.56,122312.61,10836.95
,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,686938.76,637528.65,49410.11,,,,,,80437.43354,78871.82874,1565.6048,,16389.835,15827.455,562.38,,783766.0285,732227.9337,51538.0948
,2013-14,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,374875.77,347260.35,27615.42,,,,,,2568.284926,2561.524926,6.76,,11404.33,11255.73,148.6,,388848.3849,361077.6049,27770.78
ERA,,,,,145432.46,136951.84,8480.62,,,,,,19680.83534,19568.77534,112.06,,2036.965,2032.445,4.52,,167150.2603,158553.0603,8597.2
RRA,,,,,84300.34,79000.91,5299.43,,,,,,27221.1488,27101.6088,119.54,,1919.64,1579.64,340,,113441.1288,107682.1588,5758.97
Rest of NSW,,,,,82330.19,74315.55,8014.64,,,,,,30967.16447,29639.91967,1327.2448,,1028.9,959.64,69.26,,114326.2545,104915.1097,9411.1448
