,,,,,Total Domestic Organics Generation (tonnes),,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Organics Bin,,,,Kerbside FOGO Organics,,,,Drop off Organics,,,,Cleanup Organics,,,,Other Council Garden Organics,,,,Total Domestic Organics,,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,
11600,Carrathool,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,
11650,Central Coast,C,Hunter,ERA," 37,806 "," 37,769 ", 37 ,, -   , -   , -   ,," 3,728 "," 3,728 ", -   ,," 4,797 "," 4,797 ", -   ,," 3,276.0 "," 3,276.0 ", -   ,," 46,331 "," 46,294 ", 37 ,
11700,Central Darling,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 50 , 40 , 10 ,, -   , -   , -   ,, -   , -   , -   ,, 50 , 40 , 10 ,
11720,Cessnock,C,Hunter,ERA," 5,100 "," 5,090 ", 10 ,, -   , -   , -   ,," 1,015 "," 1,015 ", -   ,, -   , -   , -   ,, 145.0 , 145.0 , -   ,," 6,115 "," 6,105 ", 10 ,
11730,Clarence Valley,A,NEWF,RRA, -   , -   , -   ,," 7,540 "," 7,276 ", 264 ,," 4,079 "," 4,079 ", -   ,, -   , -   , -   ,,, -   ,,," 11,619 "," 11,355 ", 264 ,
11750,Cobar,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 40 , -   , 40 ,, -   , -   , -   ,,, -   ,,, 40 , -   , 40 ,
11800,Coffs Harbour,C,MidWaste,RRA, -   , -   , -   ,," 12,124 "," 11,836 ", 288 ,," 2,218 "," 2,218 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 14,342 "," 14,054 ", 288 ,
12000,Coolamon,A,REROC,Rest of NSW, -   , -   , -   ,, 216 , 216 , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, 216 , 216 , -   ,
12150,Coonamble,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, -   , -   , -   ,
12160,Cootamundra - Gundagai,A,REROC,Rest of NSW," 2,079 "," 2,076 ", 3 ,, 98 , 97 , 1 ,, 399 , 399 , -   ,, -   , -   , -   ,,, -   ,,," 2,575 "," 2,571 ", 4 ,
12350,Cowra,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 2 , 2 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 2 , 2 , -   ,
12380,Cumberland,A,WSROC,SMA," 7,966 "," 7,966 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 7,966 "," 7,966 ", -   ,
12390,Dubbo Regional,A,NetWaste,Rest of NSW, -   , -   , -   ,," 4,851 "," 4,823 ", 28 ,, 330 , 330 , -   ,, 16 , 16 , -   ,, -   , -   , -   ,," 5,196 "," 5,169 ", 28 ,
12700,Dungog,A,Hunter,RRA, -   , -   , -   ,, -   , -   , -   ,, 234 , 234 , -   ,, 24 , 24 , -   ,, 115.0 , 115.0 , -   ,, 258 , 258 , -   ,
12730,Edward River,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 809 , -   , 809 ,, -   , -   , -   ,, 1.3 , -   , 1.3 ,, 809 , -   , 809 ,
12750,Eurobodalla,A,CRJO,Rest of NSW," 5,051 "," 5,045 ", 6 ,, -   , -   , -   ,," 4,976 "," 4,976 ", -   ,, -   , -   , -   ,, 488.0 , 488.0 , -   ,," 10,027 "," 10,021 ", 6 ,
12850,Fairfield,C,WSROC,SMA, -   , -   , -   ,, -   , -   , -   ,, 360 , 360 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 360 , 360 , -   ,
12870,Federation,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,," 2,492 "," 2,482 ", 10 ,," 1,082 "," 1,082 ", -   ,, -   , -   , -   ,, 16.1 , 16.1 , -   ,," 3,574 "," 3,564 ", 10 ,
12900,Forbes,A,NetWaste,Rest of NSW, -   , -   , -   ,, 911 , 911 , -   ,," 2,306 ", -   ," 2,306 ",, 10 , 10 , -   ,,, -   ,,," 3,227 ", 921 ," 2,306 ",
12930,Georges River,A,SSROC,SMA," 12,087 "," 12,087 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,," 12,087 "," 12,087 ", -   ,
12950,Gilgandra,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 3 , 3 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 3 , 3 , -   ,
13010,Glen Innes Severn,A,NIRW,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 951 , 951 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 951 , 951 , -   ,
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW, -   , -   , -   ,," 1,960 "," 1,960 ", -   ,, 518 , 518 , -   ,, -   , -   , -   ,, -   , -   , -   ,," 2,478 "," 2,478 ", -   ,
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 100 , 100 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 100 , 100 , -   ,
13450,Griffith,C,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 805 , 805 , -   ,, -   , -   , -   ,,, -   ,,, 805 , 805 , -   ,
13550,Gunnedah,A,NIRW,Rest of NSW, 779 , 668 , 111 ,, -   , -   , -   ,, 216 , 206 , 10 ,, -   , -   , -   ,, 254.8 , 254.8 , -   ,, 995 , 874 , 121 ,
13660,Gwydir,A,NIRW,Rest of NSW, -   , -   , -   ,, 177 , 175 , 2 ,, 421 , 417 , 4 ,, -   , -   , -   ,, 5.0 , -   , 5.0 ,, 598 , 592 , 6 ,
13800,Hawkesbury,C,WSROC,ERA," 4,319 "," 4,319 ", -   ,, -   , -   , -   ,," 1,053 "," 1,053 ", -   ,, -   , -   , -   ,, 98.0 , 98.0 , -   ,," 5,372 "," 5,372 ", -   ,
13850,Hay,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 437 , 437 , -   ,, -   , -   , -   ,,, -   ,,, 437 , 437 , -   ,
13910,Hilltops,A,CRJO,Rest of NSW, 653 , 653 , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, 653 , 653 , -   ,
14000,Hornsby,A,NSROC,SMA," 17,449 "," 17,449 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 726.0 , 726.0 , -   ,," 17,449 "," 17,449 ", -   ,
14100,Hunters Hill,A,NSROC,SMA," 1,355 "," 1,355 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,," 1,355 "," 1,355 ", -   ,
14170,Inner West,A,SSROC,SMA," 7,115 "," 7,115 ", -   ,, -   , -   , -   ,, 89 , 89 , -   ,, -   , -   , -   ,, 661.0 , 661.0 , -   ,," 7,204 "," 7,204 ", -   ,
14200,Inverell,A,NIRW,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,," 1,554 "," 1,554 ", -   ,, -   , -   , -   ,, 31.8 , 31.8 , -   ,," 1,554 "," 1,554 ", -   ,
14300,Junee,A,REROC,Rest of NSW, -   , -   , -   ,, 242 , 223 , 19 ,," 1,099 "," 1,099 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,341 "," 1,322 ", 19 ,
14350,Kempsey,A,MidWaste,RRA, -   , -   , -   ,," 3,573 "," 3,537 ", 36 ,, 544 , 540 , 4 ,, -   , -   , -   ,, -   , -   , -   ,," 4,117 "," 4,077 ", 40 ,
14400,Kiama,A,ISJO,ERA, -   , -   , -   ,," 4,485 "," 4,465 ", 20 ,," 1,379 "," 1,379 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 5,864 "," 5,844 ", 20 ,
14500,Ku-ring-gai,A,NSROC,SMA," 19,915 "," 19,915 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,972 "," 1,972 ", -   ,," 2,484.1 "," 2,484.1 ", -   ,," 21,886 "," 21,886 ", -   ,
14550,Kyogle,A,NEWF,RRA, -   , -   , -   ,, -   , -   , -   ,, 209 , 209 , -   ,, -   , -   , -   ,,, -   ,,, 209 , 209 , -   ,
14600,Lachlan,A,NetWaste,Rest of NSW, 13 , 13 , -   ,, -   , -   , -   ,, 500 , 500 , -   ,, -   , -   , -   ,,, -   ,,, 513 , 513 , -   ,
14650,Lake Macquarie,C,Hunter,ERA, -   , -   , -   ,," 35,088 "," 34,592 ", 496 ,, 746 , 746 , -   ,, 553 , 553 , -   ,, 466.4 , 466.4 , -   ,," 36,387 "," 35,891 ", 496 ,
14700,Lane Cove,A,NSROC,SMA," 3,009 "," 3,009 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,," 3,009 "," 3,009 ", -   ,
14750,Leeton,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 937 , 937 , -   ,, -   , -   , -   ,, 180.2 , 180.2 , -   ,, 937 , 937 , -   ,
14850,Lismore,C,NEWF,RRA, -   , -   , -   ,," 4,829 "," 4,829 ", -   ,," 1,415 "," 1,415 ", -   ,, -   , -   , -   ,, 157.1 , 157.1 , -   ,," 6,244 "," 6,244 ", -   ,
14870,Lithgow,C,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 199 , -   , 199 ,, 6 , -   , 6 ,,, -   ,,, 205 , -   , 205 ,
14900,Liverpool,C,WSROC,SMA," 16,737 "," 16,235 ", 502 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 16,737 "," 16,235 ", 502 ,
14920,Liverpool Plains,A,NIRW,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,
14950,Lockhart,A,REROC,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 108 , 43 , 65 ,, -   , -   , -   ,,, -   ,,, 108 , 43 , 65 ,
15050,Maitland,C,Hunter,ERA," 7,860 "," 7,840 ", 20 ,, -   , -   , -   ,," 1,101 "," 1,101 ", -   ,, -   , -   , -   ,, 462.0 , 462.0 , -   ,," 8,961 "," 8,941 ", 20 ,
15240,Mid-Coast,A,MidWaste,RRA," 8,552 "," 8,552 ", -   ,, -   , -   , -   ,," 1,631 "," 1,631 ", -   ,, -   , -   , -   ,,, -   ,,," 10,183 "," 10,183 ", -   ,
15270,Mid-Western Regional,A,NetWaste,Rest of NSW, -   , -   , -   ,," 1,714 "," 1,714 ", -   ,," 1,317 "," 1,317 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,031 "," 3,031 ", -   ,
15300,Moree Plains,A,NIRW,Rest of NSW, -   , -   , -   ,," 1,008 ", 810 , 198 ,, -   , -   , -   ,, 9 , 9 , -   ,, 302.8 , 302.8 , -   ,," 1,017 ", 819 , 198 ,
15350,Mosman,A,NSROC,SMA," 1,516 "," 1,516 ", -   ,, -   , -   , -   ,, 104 , 104 , -   ,, -   , -   , -   ,, 503.4 , 503.4 , -   ,," 1,620 "," 1,620 ", -   ,
15520,Murray River,A,RAMJO Murray,Rest of NSW, 707 , 707 , -   ,, -   , -   , -   ,, 27 , 27 , -   ,, -   , -   , -   ,,, -   ,,, 734 , 734 , -   ,
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, -   , -   , -   ,
15650,Muswellbrook,A,Hunter,RRA," 1,333 ", -   , 27 ,, -   , -   , -   ,," 1,772 "," 1,772 ", -   ,, 27 , 27 , -   ,, 0.9 , 0.9 , -   ,," 3,132 "," 1,799 ", 27 ,
15700,Nambucca,A,MidWaste,RRA, -   , -   , -   ,," 2,515 "," 2,465 ", 50 ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,," 2,515 "," 2,465 ", 50 ,
15750,Narrabri,A,NIRW,Rest of NSW, 772 , 772 , -   ,, -   , -   , -   ,," 2,370 "," 2,370 ", -   ,, -   , -   , -   ,,, -   ,,," 3,141 "," 3,141 ", -   ,
15800,Narrandera,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, -   , -   , -   ,
15850,Narromine,A,NetWaste,Rest of NSW, -   , -   , -   ,, 590 , 590 , -   ,, 573 , 573 , -   ,, -   , -   , -   ,," 1,000.0 "," 1,000.0 ",,," 1,163 "," 1,163 ", -   ,
15900,Newcastle,C,Hunter,ERA," 12,822 "," 12,694 ", 128 ,, -   , -   , -   ,," 2,566 "," 2,566 ", -   ,, -   , -   , -   ,," 13,018.5 ",13018.5, -   ,," 15,388 "," 15,260 ", 128 ,
15950,North Sydney,A,NSROC,SMA," 1,951 "," 1,951 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 208.0 , 208.0 , -   ,," 1,951 "," 1,951 ", -   ,
15990,Northern Beaches,A,,SMA," 26,418 "," 26,418 ", -   ,, -   , -   , -   ,," 7,918 "," 7,918 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 34,336 "," 34,336 ", -   ,
16100,Oberon,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 150 , 3 , 147 ,, 2 , 2 , -   ,, 46.0 , 46.0 , -   ,, 152 , 5 , 147 ,
16150,Orange,C,NetWaste,Rest of NSW, -   , -   , -   ,," 5,095 "," 5,090 ", 5 ,," 5,045 "," 5,045 ", -   ,, -   , -   , -   ,, 770.0 , 770.0 , -   ,," 10,140 "," 10,135 ", 5 ,
16200,Parkes,A,NetWaste,Rest of NSW, -   , -   , -   ,," 1,485 "," 1,485 ", -   ,, 954 , 954 , -   ,, 14 , 14 , -   ,, 910.4 , 910.4 , -   ,," 2,453 "," 2,453 ", -   ,
16260,Parramatta,C,WSROC,SMA," 14,165 "," 14,164 ", 1 ,, -   , -   , -   ,, -   , -   , -   ,," 3,128 "," 3,128 ", -   ,," 1,598.0 "," 1,598.0 ", -   ,," 17,293 "," 17,292 ", 1 ,
16350,Penrith,C,WSROC,SMA, -   , -   , -   ,," 34,469 "," 33,401 "," 1,069 ",, -   , -   , -   ,, 75 , 74 , 1 ,," 2,681.0 "," 2,556.0 ", 125.0 ,," 34,544 "," 33,474 "," 1,069 ",
16380,Port Macquarie-Hastings,A,MidWaste,RRA, -   , -   , -   ,," 12,406 "," 11,171 "," 1,235 ",," 6,006 "," 6,006 ", -   ,, -   , -   , -   ,, 609.2 , 609.2 , -   ,," 18,412 "," 17,177 "," 1,235 ",
16400,Port Stephens,A,Hunter,ERA, -   , -   , -   ,, -   , -   , -   ,," 3,020 "," 3,020 ", -   ,, 12 , 12 , -   ,, -   , -   , -   ,," 3,032 "," 3,032 ", -   ,
16490,Queanbeyan-Palerang Regional,A,CRJO,Rest of NSW," 2,859 "," 2,848 ", 11 ,, 458 , 458 , 0 ,," 7,915 "," 7,123 ", 792 ,, -   , -   , -   ,,, -   ,,," 11,232 "," 10,429 ", 803 ,
16550,Randwick,C,SSROC,SMA," 6,886 "," 6,693 ", 193 ,, -   , -   , -   ,, 96 , 96 , -   ,, -   , -   , -   ,, -   , -   , -   ,," 6,982 "," 6,789 ", 193 ,
16610,Richmond Valley,A,NEWF,RRA, -   , -   , -   ,," 2,869 ", 216 ," 2,652 ",, 344 , 344 , -   ,, -   , -   , -   ,, 171.2 , 171.2 , -   ,," 3,212 ", 560 ," 2,652 ",
16700,Ryde,C,NSROC,SMA," 8,099 "," 7,977 ", 121 ,, -   , -   , -   ,, -   , -   , -   ,, 600 , 600 , -   ,, 101.5 , 101.5 , -   ,," 8,698 "," 8,577 ", 121 ,
16900,Shellharbour,C,ISJO,ERA, -   , -   , -   ,," 11,978 "," 11,789 ", 189 ,," 1,030 "," 1,030 ", -   ,, -   , -   , -   ,,, -   ,,," 13,007 "," 12,819 ", 189 ,
16950,Shoalhaven,C,ISJO,ERA, -   , -   , -   ,, -   , -   , -   ,," 7,836 "," 7,836 ", -   ,," 3,066 "," 3,066 ", -   ,, -   , -   , -   ,," 10,902 "," 10,902 ", -   ,
17000,Singleton,A,Hunter,RRA," 1,539 "," 1,511 ", 28 ,, -   , -   , -   ,, 181 , 181 , -   ,, -   , -   , -   ,,, -   ,,," 1,720 "," 1,691 ", 28 ,
17040,Snowy Monaro Regional,A,CRJO,Rest of NSW, -   , -   , -   ,, 375 , 375 , -   ,, 267 , 267 , -   ,, -   , -   , -   ,,, -   ,,, 642 , 642 , -   ,
17080,Snowy Valleys,A,CRJO,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, -   , -   , -   ,
17100,Strathfield,A,,SMA," 2,244 "," 2,244 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 484.7 , 484.7 , -   ,," 2,244 "," 2,244 ", -   ,
17150,Sutherland Shire,A,SSROC,SMA," 28,355 "," 28,355 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 28,355 "," 28,355 ", -   ,
17200,Sydney,C,SSROC,SMA," 1,649 "," 1,566 ", 83 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 11,701.0 "," 5,340.0 "," 6,361.0 ",," 1,649 "," 1,566 ", 83 ,
17310,Tamworth Regional,A,NIRW,Rest of NSW," 3,474 "," 3,282 ", 192 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,474 "," 3,282 ", 192 ,
17350,Temora,A,REROC,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 5 , 5 , -   ,, -   , -   , -   ,, 5 , 5 , -   ,
17400,Tenterfield,A,NIRW,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 190 , 190 , -   ,, -   , -   , -   ,, 52.5 , -   , 52.5 ,, 190 , 190 , -   ,
17420,The Hills Shire,A,WSROC,SMA," 17,411 "," 16,941 ", 470 ,, -   , -   , -   ,, -   , -   , -   ,, 913 , 913 , -   ,, -   , -   , -   ,," 18,324 "," 17,854 ", 470 ,
17550,Tweed,A,NEWF,RRA, -   , -   , -   ,," 12,161 "," 11,748 ", 413 ,," 3,914 "," 3,914 ", -   ,, -   , -   , -   ,,, -   ,,," 16,075 "," 15,662 ", 413 ,
17620,Upper Hunter Shire,A,Hunter,RRA, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 3 , 3 , -   ,,, -   ,,, 3 , 3 , -   ,
17640,Upper Lachlan Shire,A,CRJO,Rest of NSW, 200 , 200 , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,, -   ,,, 200 , 200 , -   ,
17650,Uralla,A,NIRW,Rest of NSW, 150 , 135 , 15 ,, -   , -   , -   ,," 1,209 "," 1,209 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,359 "," 1,344 ", 15 ,
17750,Wagga Wagga,C,REROC,Rest of NSW, -   , -   , -   ,," 11,364 "," 11,491 ",-127 ,, 950 , 884 , 66 ,, -   , -   , -   ,, 906.0 , -   , 906.0 ,," 12,314 "," 12,375 ",-61 ,
17850,Walcha,A,NIRW,Rest of NSW, 91 , -   , 91 ,, -   , -   , -   ,," 1,200 "," 1,200 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,291 "," 1,200 ", 91 ,
17900,Walgett,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 759 , 759 , -   ,, -   , -   , -   ,,, -   ,,, 759 , 759 , -   ,
17950,Warren,A,NetWaste,Rest of NSW, -   , -   , -   ,, -   , -   , -   ,, 400 , -   , 400 ,, -   , -   , -   ,,, -   ,,, 400 , -   , 400 ,
